날짜,사냥 일반,사냥 고급,사냥 희귀,사냥 영웅,사냥 전설,구매 일반,구매 고급,구매 희귀,구매 영웅,구매 전설,연맹 대선물,총 수량,기타 특이사항
2017-10-30,323,27,2,0,0,0,15,16,5,3,3,394,
2017-10-31,204,16,0,0,0,0,14,9,0,1,1,245,
2017-11-01,250,19,3,1,0,0,21,16,4,0,2,316,KC몬축 참가로 22시까지 상자만 포함
2017-11-02,196,27,4,1,0,0,12,8,6,3,3,260,
2017-11-03,192,23,0,0,0,0,5,6,4,2,3,235,
2017-11-04,241,25,0,0,0,0,17,16,2,3,2,306,
2017-11-05,238,23,1,0,0,0,12,11,4,6,4,299,
2017-11-06,211,36,0,0,0,0,29,4,5,1,3,289,
,사냥 일반,사냥 고급,사냥 희귀,사냥 영웅,사냥 전설,구매 일반,구매 고급,구매 희귀,구매 영웅,구매 전설,연맹 대선물,총 수량,기타 특이사항
2017-12-08,200,67,6,3,0,0,12,7,1,4,4,304,
2017-12-09,174,43,0,1,0,0,1,1,0,2,1,223,"서버점검, 연맹상자 고급:3, 희귀:4, 영웅:5"
2017-12-10,227,37,2,0,0,0,19,4,4,3,3,299,"서버점검으로 04시 부터, 왕국전 상황"
2017-12-11,269,45,11,4,0,0,20,15,7,5,5,381,
2017-12-12,242,54,8,5,0,0,4,5,2,1,3,324,
2017-12-13,259,65,7,6,0,0,21,8,3,5,4,378,
2017-12-14,347,73,5,2,0,0,12,6,1,8,5,459,
2017-12-15,272,68,14,10,0,0,25,3,3,8,5,408,
2017-12-16,202,57,1,2,0,0,16,5,0,4,3,290,
2017-12-17,245,37,9,4,0,0,22,3,2,1,1,324,
2017-12-18,239,44,7,1,0,0,11,6,3,4,3,318,
2017-12-19,229,58,2,2,0,0,5,7,0,5,3,311,
2017-12-20,287,56,21,7,0,0,4,5,1,2,3,386,연휴기념상자:23
2017-12-21,211,36,3,1,0,0,3,7,1,0,0,262,연휴기념상자:16
2017-12-22,214,32,9,3,2,24,22,8,2,1,2,319,연휴기념상자:20
2017-12-23,186,54,4,1,2,4,11,4,1,0,2,269,연휴기념상자:13
2017-12-24,253,50,6,1,0,2,10,5,2,8,4,341,연휴기념상자:20
2017-12-25,235,44,2,2,2,1,9,7,5,3,2,312,
2017-12-26,195,44,4,1,2,1,1,4,4,2,3,261,
2017-12-27,200,53,4,2,5,0,17,2,0,3,1,287,"Arctic Flipper 소환상자, 처치상자 각각 3개"
2017-12-28,692,63,11,8,4,0,23,8,2,1,2,814,
2017-12-29,250,48,1,0,3,0,7,5,4,4,3,325,
2017-12-30,180,34,4,1,1,,6,4,1,4,2,237,장기간 서버점검
2017-12-31,,,,,,,,,,,,0,-
2018-01-17,262,34,6,1,,,13,12,1,,1,330,
2018-01-18,247,37,4,,,,9,2,3,,2,304,
2018-01-19,243,30,9,,,,8,1,,,,291,
2018-01-20,344,43,2,1,,,10,6,2,1,2,411,연맹 전쟁상자 고급:3 희귀:4 영웅:5
2018-01-21,273,45,3,,,,5,2,,1,1,330,
2018-01-22,183,38,2,,,,19,9,,,1,252,
2018-01-23,238,48,11,,,,12,7,2,1,1,320,
2018-01-24,213,40,3,,,,8,2,1,1,2,270,
2018-01-25,258,44,10,,,,9,3,1,,,325,
2018-01-26,201,36,3,,,,10,6,3,,2,261,
2018-01-27,183,40,1,1,,,9,5,2,,1,242,
2018-01-28,213,42,3,,,,17,5,4,,1,285,
2018-01-29,154,40,5,,,,7,5,1,,2,214,
2018-01-30,131,43,4,,,,11,3,3,,1,196,
2018-01-31,159,48,2,,,,13,3,,,,225,
2018-02-01,170,45,9,2,,,6,2,2,,1,237,
2018-02-02,141,43,9,3,,,4,2,1,,,203,
2018-02-03,155,49,7,,,,6,5,,,1,223,
2018-02-04,165,35,3,,,,9,4,3,3,2,224,
2018-02-05,148,35,4,,,,4,3,1,,,195,
2018-02-06,148,32,2,1,,,5,4,1,,,193,
2018-02-07,161,34,1,1,,,3,1,,,,201,
2018-02-08,161,44,2,1,2,,13,7,,,1,231,
2018-02-09,129,48,7,,,,11,4,1,,1,201,
2018-02-10,149,43,9,2,,,15,7,1,1,1,228,몬스터 소환상자/처치상자 각 3개
2018-02-11,195,39,6,,,,14,7,,,1,262,연맹전쟁 상자 고급:3 희귀:4
2018-02-12,118,39,3,,,3,5,1,,,1,170,연맹전쟁 상자 영웅:5
2018-02-13,114,25,4,2,,6,7,3,1,,,162,설연휴 상자 카운트 X
2018-02-14,,,,,,,,,,,,0,설연휴 상자 카운트 X
2018-02-15,,,,,,,,,,,,0,설연휴 상자 카운트 X
2018-02-16,,,,,,,,,,,,0,설연휴 상자 카운트 X
2018-02-17,,,,,,,,,,,,0,설연휴 상자 카운트 X
2018-02-18,,,,,,,,,,,,0,설연휴 상자 카운트 X
2018-02-19,,,,,,,,,,,,0,설연휴 상자 카운트 X
2018-02-20,117,35,5,1,,8,7,5,2,,1,181,
2018-02-21,165,60,15,2,,5,8,3,1,6,3,268,
2018-02-22,119,36,8,,,1,9,2,,,1,176,
2018-02-23,112,50,11,1,,,2,,,,,176,
2018-02-24,122,41,3,1,1,,7,5,1,,,181,
2018-02-25,230,74,16,3,,,6,2,1,,1,333,기념일 선물:17
2018-02-26,115,45,1,2,1,,5,4,,,,173,기념일 선물:7
2018-02-27,148,44,5,,,,8,2,1,,1,209,기념일 선물:15
2018-02-28,133,45,19,1,2,,7,1,,,,208,기념일 선물:5
